,nom_entreprise,titre_offres,description_offres,date_publication,localisation,type_contrat,niveau_etude,niveau_experience,competence,categorie_offre
107,AFREETECH,Responsable Administratif et Financier - Yaoundé,"Le  responsable administratif et financier  est un professionnel chargé de superviser et de coordonner les activités administratives et financières au sein d’une entreprise. Il assure la gestion financière, le contrôle budgétaire, la gestion administrative et le suivi des obligations légales. Le responsable administratif et financier recherché doit avoir des compétences en gestion financière, contrôle budgétaire, gestion administrative, reporting et communication, gestion des obligations légales.   Il aura pour missions :    De coordonner la comptabilité, la gestion des fonds et la trésorerie ;  De superviser les déclarations comptables et fiscales ;  D'élaborer les budgets et réaliser les reportings ;  De proposer une...",21.06.2024, Yaoundé,: CDI, Bac+5 et plus, Expérience entre 2 ans et 5 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
108,INGENIO TECH,Responsable Commercial - Douala,"Participer à la définition de la politique commerciale de l'entreprise, à partir de la stratégie de l'entreprise  Fixer les objectifs et les axes prioritaires  Diriger et accompagner l'équipe commerciale  Promouvoir l'image et la notoriété de l'entreprise  Participer à la négociation sur certains comptes stratégiques  Être attentif aux évolutions du marché et aux offres de la concurrence afin d'adapter en permanence les offres de l'entreprise  Reporter à la Direction  Recruter et former l'équipe commerciale  Assurer l'interface avec les autres services de l'entreprise  Conduite de la politique commerciale   Animation et développement d'une...",20.06.2024, Douala,: CDD, Bac+5 et plus, Expérience entre 5 ans et 10 ans & Expérience > 10 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
109,DAVCA,"Enseignant - Yaoundé, Terminus Nkolmbong",Le collège bilingue Gerlinde Education Center (GEdCenter) recherche pour le besoin de ses services des  enseignants  pour ses nouvelles filières.,20.06.2024, Yaoundé,: Temps partiel," Bac+3, Bac+4 & Bac+5 et plus", Expérience entre 2 ans et 5 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
110,ZONE TRAVEL,Stagiaire Assistante de Direction - Douala,"Nous recherchons pour nos besoins de service une  Stagiaire Assistante de Direction  sur Douala.  Nous sommes à la recherche d'une personne impliquée, rigoureuse, dynamique pour assurer les tâches liées à la gestion de l'entreprise. En tant que stagiaire, au sein d'une start-up, vous travaillerez en étroite collaboration avec la direction, sous la supervision du chef d'agence, pour participer à son évolution.   Missions :    Prospecter de nouveaux clients par téléphone, par courriel, médias sociaux  Se charger de toute forme de documentation et de factures de l'entreprise  Se charger de dresser le calendrier de RDV du promoteur  Vérifier que toutes les factures soient payées à temps  Atteindre les objectifs...",20.06.2024, Douala,: Stage," Bac+2, Bac+3, Bac+4 & Bac+5 et plus", Expérience entre 2 ans et 5 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
111,AFRIKANET ONLINE,Technicien Télécommunication Réseau - VSAT - CCTV - ENERGIE SOLAIRE - Yaoundé,Technicien Télécommunication Réseau - VSAT - CCTV - ÉNERGIE SOLAIRE,20.06.2024, Yaoundé,: CDI & CDD," Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus"," Etudiant, jeune diplômé et plus", DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
112,SESAME SARL,Vendeur H/F - Douala,Vous êtes passionnée par le service à la clientèle et souhaitez travailler dans un environnement stimulant et convivial ? Notre supermarché en pleine expansion cherche des vendeur(ses) enthousiastes et motivé(es) pour rejoindre notre équipe dynamique.  Vous êtes passionnée par le service à la clientèle et souhaitez travailler dans un environnement stimulant et convivial ? Notre supermarché en pleine expansion cherche des vendeur(ses) enthousiastes et motivé(es) pour rejoindre notre équipe dynamique.   Missions / Responsabilité / Activités    Accueillir chaleureusement les clients et répondre à leurs besoins avec sourire et aptitude positive         Assurer la mise en rayon des produits et veiller à la...,20.06.2024, Douala,: CDI," Bac+2, Bac+3, Bac+4 & Bac+5 et plus", Débutant < 2 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
113,CALLNET SOLUTION,TELECONSEILLERS JUNIOR - Yaounde,"En tant que téléconseiller au sein de notre équipe dynamique, vous serez chargé(e) de fournir un service clientèle exceptionnel par téléphone. Vous serez le premier point de contact pour nos clients, répondant à leurs questions, résolvant leurs problèmes et garantissant une expérience client positive à chaque interaction.   Responsabilités :    Gérer les appels entrants et sortants des clients avec professionnalisme et empathie.  Répondre aux demandes de renseignements et aux plaintes des clients de manière efficace et en temps opportun.  Fournir des informations précises sur nos produits ou services.  Assurer le suivi des dossiers clients et mettre à jour les informations dans notre système CRM.  Collaborer avec les autres...",20.06.2024, Yaoundé,: CDI & CDD," Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus"," Etudiant, jeune diplômé et plus", DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
114,AFRICAN TAX ADMINISTRATION FORUM (ATAF),"Chef : Stratégie, Planification, Coopération Internationale  - Pretoria, South Africa","L'ATAF est à la recherche d’un individu hautement qualifié et expérimenté pour être chef de son département Stratégie, planification et coopération internationale.     Compte tenu de la nature stratégique de ce poste et en tant que membre de l'équipe de direction de l'ATAF, la personne doit ;   - Être capable de superviser l’élaboration, la réalisation et le rapportage du plan stratégique de l’organisation tout en proposant des interventions stratégiques si les objectifs clés risquent de ne pas être atteints ;    - Avoir la capacité de renforcer de manière plus profonde les relations existantes avec nos 43 pays membres, qui sont des autorités fiscales sur le continent...",20.06.2024, Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua,: CDD, Bac+4 - Bac+5 et plus, Expérience entre 5 ans et 10 ans - Expérience > 10 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
115,"HANGZHOU BESTSUPPLIERS FOREIGN TRADE GROUP CO.,LTD",Outdoor Sales,"We are looking for an  Outdoor Salesperson.    Main responsibility:   1. Set up office in a proper venue based on your local knowledge (if we are new there).  2. Coordinate business-related activities for branding and advertisement tasks as assigned.  3. Find valid inquiry customers who are interested to purchase goods from China by local market. And persuade them to place orders with us  4. Task order handling (Provide services to customers and clients, including pre-sale service, sale service, after-sales service).",20.06.2024, Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua,: CDD - Statutaire, Bac, Expérience entre 2 ans et 5 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
116,STUDIES HOLDING,Stage Professionnel Community Manager  - Douala-Akwa,"Nous recherchons un(e)  Community Manager H/F  pour un stage professionnel d'une durée de 04 mois renouvelable, avec possibilité d'embauche à la clé.   Missions principales :    Développer et mettre en œuvre la stratégie de community management de l'entreprise sur les réseaux sociaux (Facebook, Instagram, Twitter, LinkedIn, etc.).  Créer et diffuser du contenu engageant et de qualité pour les différents réseaux sociaux.  Animer et modérer les communautés en ligne.  Suivre les performances des campagnes et analyser les données.  Collaborer avec les autres équipes marketing et communication.",19.06.2024, Douala,: CDI & Stage," Bac+2, Bac+3, Bac+4 & Bac+5 et plus", Débutant < 2 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
117,WINDIGITECH,Développeur Python Expérimenté  - Douala,"Pour une mission longue durée, nous recherchons un  Développeur Python expérimenté  à temps plein avec une forte capacité de travailler en full remote. La mission débutera pour 6 mois et possible d’être prolongée en fonction des objectifs. Si vous pensez avoir la compétence, veuillez vous envoyer votre CV.",19.06.2024, Douala & Yaoundé,: CDD & Freelance," Bac+3, Bac+4 & Bac+5 et plus", Expérience entre 2 ans et 5 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
118,LA MAIN ETOILÉE,Cuisinier Fast-food / Restaurant - Yaoundé,"Dans le cadre de l'ouverture prochaine de notre restaurant fast-food situé au Rond-Point Express, quartier Biyem-Assi à Yaoundé, nous recherchons des  professionnels  qualifiés et passionnés pour rejoindre notre équipe dynamique.   1. Recrutement d'un Cuisinier   Nous sommes à la recherche d'un cuisinier talentueux et expérimenté pour préparer des repas grillades et des mets traditionnels africains.   Qualités requises :    Expérience préalable en cuisine, de préférence dans des restaurants ou fast-foods de taille similaire  Maîtrise des techniques de grillades et de préparation de mets traditionnels africains  Capacité à travailler sous pression et à gérer plusieurs commandes simultanément  Créativité et passion...",19.06.2024, Yaoundé,: CDD," Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus", Expérience entre 2 ans et 5 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
119,ADVENT SOFT,Développeur Mobile IONIC,La société ADVENT SOFT recrute pour ses besoins de service des  Développeurs d'Applications Mobil e  en   Freelance  expérimentés   en  Ionic .    Missions :     Gérer le développement d'applications mobile.,19.06.2024, Yaoundé,: CDD, Bac+3, Expérience entre 2 ans et 5 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
120,ADVENT SOFT,Stagiaire Support Technique Applicatif - Yaoundé,La société Advent Soft Sarl recrute pour ses besoins un  Stagiaire Support Technique Applicatif  pour un stage professionnel de 06 mois renouvelables.    Missions  :    Assurer le support technique sur l’application Axxentis Scholaris en ligne et sur site aux établissements scolaires  Diagnostiquer et remonter les dysfonctionnements de l’application Axxentis Scholaris décrits par les clients  Installer et former les clients sur le logiciel  Exécuter les patchs chez les clients suite à une mise à jour du logiciel  Réaliser les tests des applications et produire les rapports de tests.,19.06.2024, Yaoundé,: Stage, Bac+2, Débutant < 2 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
121,ADVENT SOFT,Développeur Full Stack Java/Spring/Angular,"La société  ADVENT SOFT  recherche pour ses besoins de service un  Développeur Full Stack   Java/Spring/Angular  sur   Yaoundé.    Mission    :    La modélisation, le développement Back-end des projets auxquels il sera affecté.",19.06.2024, Yaoundé,: CDD, Bac+3, Expérience entre 2 ans et 5 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
122,AMARAL CONSULTING,Commercial - Douala,"Nous sommes à la recherche de  Commerciaux.    Missions /Responsabilités /Activités :    Tâche à effectuer :    Vendre les permis d'étude et de travail pour la canada  Vendre les visas Russie  Vendre les visas Chine  Vendre les visas Biélorusses  Vendre des billets d'avions.   Objectif par semaine : 01 vente minimum.   Documents de candidature    Curriculum Vitae  Photocopie CNI   NB: Gagner de l’argent depuis votre position en nous envoyant des clients / si nous n’avez pas d’espace de travail nous vous fournirons un gratuitement, climatisé avec Wifi disponible",18.06.2024, Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua,: Freelance - Temps partiel," Bac, Bac+1, Bac+2, Bac+3, Bac+4 - Bac+5 et plus"," Etudiant, jeune diplômé et plus", DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Juridique Cameroun
